Name,Position,Price number,Points total,Team
E. Smith Rowe,MID,3,88,Fulham
.. Evanilson,FWD,3.8,88,Bournemouth
M. Fernandes,MID,3,88,Southampton
Ederson,GK,4.6,87,Manchester City
R. Christie,MID,3.1,87,Bournemouth
N. Madueke,FWD,3.6,87,Chelsea
M. Kovacic,MID,4,86,Manchester City
.. Savinho,MID,4,86,Manchester City
A. Robertson,DEF,5,85,Liverpool
B. Silva,MID,5.1,85,Manchester City
M. Tavernier,MID,2.8,85,Bournemouth
D. Dalot,DEF,3.3,85,Manchester United
G. Martinelli,MID,4.9,85,Arsenal
J. van Hecke,DEF,2.8,85,Brighton and Hove Albion
Joelinton,MID,3.5,84,Newcastle United
J. Bellegarde,MID,2.6,84,Wolverhampton Wanderers
N. Collins,DEF,2.7,84,Brentford
F. Buonanotte,MID,3.1,84,Leicester City
A. Young,DEF,2.5,83,Everton
D. Rice,MID,4.6,83,Arsenal
C. Baleba,MID,2.5,83,Brighton and Hove Albion
K. De Bruyne,MID,6.7,82,Manchester City
N. Mazraoui,DEF,3.7,82,Manchester United
Y. Minteh,FWD,2.9,82,Brighton and Hove Albion
A. Pereira,MID,3,81,Fulham
J. Branthwaite,DEF,3,81,Everton
J. Aribo,MID,2.8,80,Southampton
A. Garnacho,FWD,3.8,80,Manchester United
W. Hughes,MID,2.9,77,Crystal Palace
J. Doku,FWD,4.4,77,Manchester City
R. Gravenberch,MID,3.4,77,Liverpool
R. Aït-Nouri,DEF,2.9,77,Wolverhampton Wanderers
B. El Khannouss,MID,2.6,77,Leicester City
A. Traoré,FWD,3.6,76,Fulham
T. Adams,MID,2.5,76,Bournemouth
R. Yates,MID,2.4,76,Nottingham Forest
C. Richards,DEF,2.5,76,Crystal Palace
J. Clarke,MID,2.6,76,Ipswich Town
M. Kudus,MID,4.4,76,West Ham United
I. Zabarnyi,DEF,2.6,76,Bournemouth
P. Sarr,MID,2.9,76,Tottenham Hotspur
T. Dibling,MID,2.1,76,Southampton
M. de Ligt,DEF,3.9,75,Manchester United
L. Digne,DEF,3.4,74,Aston Villa
J. Sá,GK,3.5,74,Wolverhampton Wanderers
W. Ndidi,MID,3.2,74,Leicester City
C. Bassey,DEF,2.8,74,Fulham
T. Livramento,DEF,2.9,74,Newcastle United
F. Schär,DEF,3.7,73,Newcastle United
D. Jota,FWD,5.3,73,Liverpool
A. Wan-Bissaka,DEF,3.9,73,West Ham United
N. Pope,GK,4,72,Newcastle United
A. Doucouré,MID,3.5,72,Everton
V. Janelt,MID,3.3,72,Brentford
C. Jones,MID,3.5,72,Liverpool
D. Burn,DEF,3.6,71,Newcastle United
L. Colwill,DEF,3.1,71,Chelsea
.. André,MID,2.8,71,Wolverhampton Wanderers
D. Huijsen,DEF,2.4,71,Bournemouth
N. Semedo,DEF,3.2,70,Wolverhampton Wanderers
K. Lewis-Potter,FWD,2.6,70,Brentford
T. Adarabioyo,DEF,3.2,69,Chelsea
M. Rashford,FWD,5.7,69,Aston Villa
M. Merino,MID,4.5,69,Arsenal
S. Tonali,MID,3.7,69,Newcastle United
J. Zirkzee,FWD,4.7,69,Manchester United
R. Lewis,DEF,3.5,69,Manchester City
O. Hutchinson,FWD,3,69,Ipswich Town
J. Veltman,DEF,3.2,68,Brighton and Hove Albion
M. Lemina,MID,3,68,Wolverhampton Wanderers
G. Vicario,GK,3.3,68,Tottenham Hotspur
S. Mavididi,FWD,3.1,67,Leicester City
J. Sancho,MID,4.5,67,Chelsea
H. Barnes,MID,4.4,66,Newcastle United
J. Ramsey,MID,3.4,66,Aston Villa
P. Neto,FWD,3.5,66,Chelsea
Beto,FWD,3.7,66,Everton
R. Højlund,FWD,4.8,66,Manchester United
S. Morsy,MID,2.4,65,Ipswich Town
E. Konsa,DEF,3.3,65,Aston Villa
A. Ramsdale,GK,4,65,Southampton
M. Hermansen,GK,2.6,65,Leicester City
Casemiro,MID,3.8,64,Manchester United
M. Ødegaard,MID,5.3,64,Arsenal
S. Lukic,MID,2.6,64,Fulham
J. Harrison,MID,3.8,64,Everton
L. Martínez,DEF,3.8,64,Manchester United
D. Núñez,FWD,6.1,64,Liverpool
J. McGinn,MID,3.7,63,Aston Villa
M. Ugarte,MID,4,63,Manchester United
N. Domínguez,MID,3.2,63,Nottingham Forest
I. Gündogan,MID,5,62,Manchester City
A. Muric,GK,2.5,62,Ipswich Town
